iter	Passed	Remaining
0	142	142765
1	144	72140
2	145	48349
3	146	36432
4	147	29279
5	148	24629
6	149	21214
7	150	18722
8	151	16702
9	152	15081
10	155	13985
11	157	12972
12	158	12056
13	159	11244
14	160	10529
15	161	9905
16	161	9358
17	163	8922
18	164	8484
19	165	8095
20	166	7741
21	166	7411
22	167	7110
23	169	6897
24	171	6705
25	173	6485
26	173	6268
27	174	6067
28	176	5895
29	177	5723
30	177	5555
31	178	5396
32	179	5246
33	179	5105
34	183	5065
35	187	5020
36	188	4904
37	190	4817
38	191	4712
39	203	4882
40	204	4782
41	205	4683
42	209	4672
43	215	4683
44	216	4599
45	217	4510
46	218	4425
47	218	4342
48	219	4262
49	220	4186
50	221	4112
51	221	4042
52	222	3974
53	223	3909
54	223	3848
55	224	3789
56	225	3737
57	226	3686
58	227	3635
59	228	3584
60	229	3536
61	231	3496
62	233	3470
63	234	3430
64	236	3401
65	237	3367
66	238	3328
67	239	3286
68	241	3262
69	244	3243
70	245	3218
71	247	3185
72	248	3149
73	248	3115
74	249	3080
75	251	3053
76	251	3018
77	252	2983
78	252	2949
79	253	2915
80	254	2884
81	254	2854
82	255	2822
83	258	2817
84	260	2801
85	261	2777
86	262	2750
87	262	2723
88	263	2697
89	264	2671
90	264	2646
91	265	2621
92	266	2595
93	266	2571
94	267	2546
95	267	2523
96	268	2500
97	269	2479
98	270	2458
99	272	2448
100	275	2455
101	276	2436
102	277	2418
103	278	2399
104	280	2389
105	281	2372
106	282	2355
107	283	2338
108	283	2321
109	284	2305
110	291	2330
111	292	2317
112	293	2302
113	294	2286
114	295	2271
115	295	2255
116	296	2237
117	297	2221
118	297	2204
119	298	2188
120	299	2173
121	299	2158
122	305	2179
123	306	2168
124	308	2160
125	309	2147
126	310	2133
127	311	2121
128	312	2109
129	313	2098
130	314	2085
131	317	2084
132	326	2126
133	327	2113
134	327	2101
135	329	2090
136	330	2081
137	334	2089
138	337	2088
139	338	2080
140	339	2068
141	340	2055
142	341	2044
143	341	2031
144	342	2019
145	343	2007
146	343	1995
147	344	1982
148	356	2035
149	357	2025
150	358	2018
151	364	2036
152	366	2026
153	367	2018
154	368	2008
155	369	1997
156	370	1987
157	370	1976
158	371	1965
159	372	1956
160	373	1943
161	373	1932
162	374	1922
163	374	1911
164	378	1916
165	379	1906
166	380	1895
167	380	1885
168	381	1875
169	382	1865
170	382	1854
171	383	1845
172	384	1836
173	385	1828
174	398	1877
175	403	1889
176	404	1880
177	405	1871
178	406	1863
179	409	1865
180	411	1861
181	412	1853
182	413	1845
183	414	1837
184	415	1829
185	416	1823
186	417	1815
187	418	1808
188	419	1800
189	420	1792
190	421	1784
191	422	1777
192	423	1771
193	424	1764
194	425	1758
195	426	1751
196	427	1744
197	428	1736
198	429	1729
199	430	1722
200	431	1715
201	432	1708
202	433	1701
203	434	1694
204	434	1686
205	435	1678
206	436	1671
207	437	1664
208	438	1657
209	439	1651
210	439	1644
211	440	1637
212	441	1630
213	442	1623
214	467	1706
215	468	1700
216	469	1693
217	471	1690
218	472	1684
219	473	1678
220	479	1691
221	480	1684
222	509	1775
223	510	1768
224	511	1761
225	512	1754
226	513	1747
227	514	1740
228	514	1733
229	515	1727
230	516	1720
231	517	1714
232	522	1720
233	524	1715
234	524	1708
235	525	1702
236	526	1696
237	527	1689
238	528	1684
239	529	1678
240	530	1671
241	531	1665
242	532	1659
243	534	1655
244	534	1648
245	535	1641
246	536	1634
247	536	1628
248	537	1621
249	538	1615
250	539	1609
251	540	1603
252	540	1597
253	541	1590
254	542	1583
255	542	1577
256	543	1571
257	544	1564
258	544	1558
259	545	1552
260	547	1550
261	548	1545
262	555	1557
263	556	1551
264	557	1546
265	558	1540
266	559	1535
267	560	1530
268	561	1524
269	561	1519
270	562	1514
271	563	1509
272	564	1503
273	565	1497
274	566	1492
275	567	1487
276	568	1482
277	569	1479
278	570	1473
279	571	1468
280	571	1463
281	573	1459
282	574	1454
283	575	1449
284	575	1444
285	576	1439
286	577	1434
287	578	1429
288	578	1423
289	579	1417
290	579	1412
291	580	1407
292	581	1402
293	581	1396
294	582	1391
295	582	1386
296	583	1381
297	584	1376
298	584	1371
299	585	1366
300	586	1361
301	586	1356
302	587	1351
303	588	1347
304	589	1342
305	589	1337
306	590	1332
307	590	1327
308	591	1322
309	592	1317
310	592	1312
311	593	1308
312	593	1303
313	594	1298
314	594	1293
315	595	1288
316	596	1284
317	596	1279
318	597	1275
319	597	1270
320	598	1266
321	599	1262
322	599	1257
323	600	1253
324	601	1248
325	601	1244
326	602	1240
327	603	1235
328	603	1231
329	604	1226
330	604	1222
331	605	1217
332	605	1213
333	606	1209
334	606	1204
335	607	1200
336	607	1195
337	608	1191
338	608	1187
339	609	1183
340	609	1178
341	610	1174
342	611	1171
343	612	1167
344	612	1163
345	613	1159
346	613	1155
347	614	1151
348	615	1147
349	615	1143
350	616	1139
351	616	1135
352	617	1131
353	617	1127
354	618	1123
355	619	1119
356	619	1116
357	620	1112
358	620	1108
359	621	1104
360	622	1101
361	622	1097
362	623	1093
363	623	1089
364	624	1086
365	624	1082
366	625	1079
367	626	1075
368	627	1072
369	627	1069
370	628	1065
371	629	1061
372	629	1058
373	630	1054
374	630	1051
375	631	1047
376	631	1044
377	632	1040
378	633	1037
379	633	1033
380	634	1030
381	634	1027
382	635	1023
383	635	1020
384	636	1016
385	637	1013
386	637	1010
387	638	1006
388	638	1003
389	639	1000
390	640	996
391	641	994
392	641	991
393	642	988
394	643	985
395	643	982
396	644	978
397	644	975
398	645	972
399	646	969
400	646	966
401	647	962
402	647	959
403	648	956
404	648	953
405	649	950
406	650	947
407	650	944
408	651	941
409	651	938
410	652	934
411	652	931
412	653	928
413	654	925
414	654	922
415	655	919
416	656	917
417	656	914
418	657	912
419	658	909
420	658	906
421	659	903
422	660	900
423	660	897
424	661	894
425	661	891
426	662	888
427	662	885
428	663	882
429	663	880
430	664	877
431	664	874
432	665	871
433	666	868
434	666	865
435	667	863
436	667	860
437	668	857
438	668	854
439	669	851
440	669	849
441	670	846
442	671	843
443	671	841
444	672	838
445	673	835
446	673	833
447	674	830
448	674	828
449	675	825
450	675	822
451	676	820
452	676	817
453	677	814
454	678	812
455	678	809
456	679	806
457	679	804
458	680	801
459	680	799
460	681	796
461	681	793
462	682	791
463	682	788
464	683	786
465	684	783
466	685	781
467	685	779
468	687	777
469	688	776
470	689	774
471	690	772
472	691	770
473	693	769
474	694	767
475	695	765
476	696	763
477	696	761
478	697	758
479	698	756
480	698	754
481	699	751
482	699	749
483	700	746
484	700	744
485	701	741
486	702	739
487	702	737
488	703	735
489	704	732
490	704	730
491	705	728
492	706	726
493	706	723
494	707	721
495	707	719
496	708	716
497	708	714
498	709	712
499	709	709
500	710	707
501	710	705
502	711	702
503	711	700
504	712	698
505	713	696
506	713	693
507	714	691
508	714	689
509	715	687
510	715	684
511	716	682
512	716	680
513	717	678
514	718	676
515	719	674
516	719	672
517	720	670
518	720	668
519	721	665
520	721	663
521	722	661
522	722	659
523	723	657
524	724	655
525	724	652
526	725	650
527	725	648
528	726	646
529	726	644
530	727	642
531	728	640
532	729	638
533	730	637
534	730	635
535	731	633
536	732	631
537	734	630
538	735	629
539	737	628
540	738	626
541	739	624
542	740	622
543	741	621
544	742	619
545	743	618
546	744	616
547	745	614
548	746	612
549	746	611
550	747	609
551	749	607
552	750	606
553	752	605
554	753	603
555	753	602
556	754	600
557	755	598
558	756	597
559	757	595
560	758	593
561	759	591
562	760	590
563	761	588
564	762	587
565	765	587
566	767	585
567	768	584
568	768	582
569	769	580
570	770	578
571	771	576
572	771	575
573	772	573
574	773	571
575	774	569
576	775	568
577	775	566
578	777	565
579	777	563
580	779	562
581	780	560
582	781	558
583	782	557
584	782	555
585	783	553
586	784	551
587	784	549
588	785	548
589	786	546
590	786	544
591	787	542
592	787	540
593	788	538
594	788	537
595	789	535
596	790	533
597	790	531
598	791	529
599	791	527
600	792	526
601	793	524
602	793	522
603	794	520
604	795	519
605	796	517
606	796	515
607	797	514
608	798	512
609	798	510
610	799	509
611	800	507
612	801	505
613	802	504
614	802	502
615	803	500
616	804	499
617	804	497
618	805	495
619	805	493
620	806	492
621	807	490
622	807	488
623	808	487
624	809	485
625	810	484
626	810	482
627	811	480
628	812	479
629	813	477
630	813	475
631	814	474
632	814	472
633	815	470
634	816	469
635	816	467
636	817	465
637	817	464
638	818	462
639	819	460
640	819	459
641	820	457
642	820	455
643	821	454
644	822	452
645	822	450
646	823	449
647	823	447
648	824	446
649	825	444
650	826	442
651	826	441
652	827	439
653	828	438
654	829	436
655	829	435
656	830	433
657	831	431
658	831	430
659	832	428
660	832	427
661	833	425
662	834	423
663	834	422
664	835	420
665	835	419
666	836	417
667	837	416
668	837	414
669	838	412
670	838	411
671	839	409
672	840	408
673	841	406
674	841	405
675	842	403
676	843	402
677	844	400
678	844	399
679	845	397
680	846	396
681	846	394
682	847	393
683	847	391
684	848	390
685	849	388
686	849	387
687	850	385
688	851	384
689	851	382
690	852	381
691	852	379
692	853	378
693	853	376
694	854	375
695	855	373
696	856	372
697	856	370
698	858	369
699	858	368
700	859	366
701	860	365
702	860	363
703	861	362
704	862	360
705	862	359
706	863	357
707	863	356
708	864	354
709	865	353
710	865	351
711	866	350
712	866	348
713	867	347
714	867	345
715	868	344
716	869	343
717	869	341
718	870	340
719	871	338
720	872	337
721	873	336
722	874	335
723	875	333
724	875	332
725	876	330
726	877	329
727	877	327
728	878	326
729	879	325
730	879	323
731	880	322
732	880	320
733	881	319
734	881	317
735	882	316
736	883	315
737	883	313
738	884	312
739	885	310
740	885	309
741	887	308
742	889	307
743	889	306
744	890	304
745	891	303
746	892	302
747	893	300
748	893	299
749	894	298
750	895	296
751	895	295
752	896	294
753	896	292
754	897	291
755	898	289
756	898	288
757	899	287
758	900	285
759	900	284
760	901	283
761	902	281
762	903	280
763	904	279
764	904	277
765	905	276
766	906	275
767	906	273
768	907	272
769	907	271
770	908	269
771	908	268
772	909	267
773	910	265
774	910	264
775	911	263
776	912	261
777	912	260
778	913	259
779	913	257
780	914	256
781	914	255
782	915	253
783	916	252
784	916	251
785	917	249
786	918	248
787	918	247
788	919	245
789	920	244
790	920	243
791	921	241
792	921	240
793	922	239
794	922	237
795	923	236
796	923	235
797	924	233
798	924	232
799	925	231
800	925	230
801	926	228
802	926	227
803	927	226
804	927	224
805	928	223
806	928	222
807	929	220
808	929	219
809	930	218
810	931	216
811	931	215
812	932	214
813	933	213
814	933	211
815	934	210
816	935	209
817	935	208
818	936	206
819	936	205
820	937	204
821	937	203
822	938	201
823	938	200
824	939	199
825	939	197
826	940	196
827	940	195
828	941	194
829	941	192
830	942	191
831	942	190
832	943	189
833	943	187
834	944	186
835	944	185
836	945	184
837	946	182
838	946	181
839	947	180
840	948	179
841	949	178
842	950	177
843	951	175
844	951	174
845	952	173
846	953	172
847	953	170
848	954	169
849	955	168
850	955	167
851	956	166
852	956	164
853	957	163
854	958	162
855	958	161
856	959	160
857	960	158
858	960	157
859	961	156
860	962	155
861	963	154
862	964	153
863	965	151
864	966	150
865	966	149
866	967	148
867	968	147
868	969	146
869	970	144
870	970	143
871	971	142
872	972	141
873	972	140
874	973	139
875	973	137
876	974	136
877	974	135
878	975	134
879	975	133
880	976	131
881	976	130
882	977	129
883	978	128
884	978	127
885	979	125
886	979	124
887	980	123
888	981	122
889	981	121
890	982	120
891	983	119
892	983	117
893	984	116
894	985	115
895	985	114
896	986	113
897	986	112
898	987	110
899	987	109
900	989	108
901	990	107
902	990	106
903	991	105
904	992	104
905	992	103
906	993	101
907	994	100
908	994	99
909	995	98
910	996	97
911	996	96
912	997	95
913	997	93
914	998	92
915	998	91
916	999	90
917	999	89
918	1000	88
919	1000	87
920	1001	85
921	1001	84
922	1002	83
923	1002	82
924	1003	81
925	1003	80
926	1004	79
927	1004	77
928	1005	76
929	1005	75
930	1006	74
931	1006	73
932	1007	72
933	1007	71
934	1008	70
935	1009	69
936	1009	67
937	1010	66
938	1011	65
939	1011	64
940	1012	63
941	1012	62
942	1013	61
943	1013	60
944	1014	59
945	1014	57
946	1015	56
947	1016	55
948	1016	54
949	1017	53
950	1017	52
951	1018	51
952	1019	50
953	1019	49
954	1020	48
955	1020	46
956	1021	45
957	1021	44
958	1022	43
959	1022	42
960	1023	41
961	1024	40
962	1024	39
963	1025	38
964	1026	37
965	1026	36
966	1027	35
967	1027	33
968	1028	32
969	1028	31
970	1029	30
971	1029	29
972	1030	28
973	1030	27
974	1031	26
975	1031	25
976	1032	24
977	1033	23
978	1033	22
979	1034	21
980	1034	20
981	1035	18
982	1035	17
983	1036	16
984	1036	15
985	1037	14
986	1037	13
987	1038	12
988	1039	11
989	1039	10
990	1040	9
991	1040	8
992	1041	7
993	1042	6
994	1042	5
995	1043	4
996	1043	3
997	1044	2
998	1044	1
999	1045	0
